customer_id,persona,upi_monthly_inflow_avg,upi_inflow_volatility,upi_active_days_per_month,gst_monthly_turnover,gst_filing_consistency,utility_payment_regularity,utility_avg_delay_days,telecom_recharge_frequency,telecom_recharge_consistency,ecommerce_txn_frequency,ecommerce_return_rate,mobility_active_days,mobility_distance_trend,existing_bureau_flag,existing_bureau_score_partial,months_of_data_available,num_sources_available,default_label
5caba8a0-6dd8-4118-b0af-2b7f6bcc0fc2,Gig Worker,21766.68,0.5022,18,,,,,1.62,0.5636,2.96,0.2214,,,False,,11,3,1
11471475-a05e-424e-9aa1-737e0592f6c7,Gig Worker,38398.74,0.3009,26,,,,,3.39,0.8593,6.75,0.1608,24.4,-0.0304,False,,20,4,1
15ec245d-e91b-445a-8571-8479b3e05c6b,Small Merchant,66230.31,0.3462,21,125885.3,0.5603,0.5268,17.04,,,,,,,False,,12,3,1
2c27d835-13d4-4447-9e0a-261ecaf063c0,Gig Worker,25125.25,0.4353,23,,,,,1.84,0.5849,2.53,0.1838,16.27,-0.072,False,,17,4,1
9e701736-bdbd-40fa-b618-91f85fdb18ac,Informal/Rural Worker,32170.2,0.4778,18,,,0.8269,3.56,2.94,0.7727,,,,,False,,31,3,0
47a19dfd-66ea-47dd-bb0e-63c0b3920d5b,Informal/Rural Worker,26364.71,0.5032,13,,,0.755,12.25,2.58,0.6724,,,,,False,,18,3,0
ba2952d6-b71a-4057-b653-831a1861d690,Gig Worker,46229.9,0.4051,23,,,,,,,,,18.87,-0.023,False,,21,2,0
f8ab7e1f-c43c-4b17-ae36-b8171ecd56e9,Informal/Rural Worker,28161.19,0.4771,17,,,0.7936,2.85,2.98,0.7721,,,,,False,,26,3,0
5e972d10-f724-4165-a6c7-51bf52db50cd,First-time Borrower,67830.9,0.1681,19,,,0.7189,4.03,2.14,0.8308,,,,,False,,25,3,0
856e700e-4616-41e4-8752-f4f2b74f4ff8,Informal/Rural Worker,21716.51,0.4991,16,,,0.6679,9.14,2.01,0.7356,,,,,False,,18,3,0
c6f86ea7-5c76-4683-898c-be2b8a07a01f,Informal/Rural Worker,10252.5,0.5346,7,,,0.4675,13.81,1.32,0.4901,,,,,False,,14,3,0
e52849d1-6f4b-40d9-a998-ddd2170b449e,Gig Worker,17019.72,0.4443,17,,,,,2.07,0.529,5.13,0.2189,14.39,-0.05,False,,16,4,0
e7035b90-197d-4931-82ba-4a1777336c33,Informal/Rural Worker,18060.01,0.431,10,,,0.5223,9.73,1.71,0.6159,,,,,False,,13,3,1
46659966-65d8-464d-baf0-6c8cbc7422c8,First-time Borrower,70085.09,0.2007,24,,,0.8416,2.24,2.29,0.7956,,,,,False,,28,3,0
b06569be-7eb5-4ad3-a2bd-6a4c349d8eef,First-time Borrower,73426.5,0.1545,24,,,0.9131,2.0,,,,,,,True,792.0,23,2,0
143a87df-8b80-4159-995d-304024f54de3,First-time Borrower,41170.08,0.1836,17,,,0.5156,12.68,,,1.87,0.1949,,,True,482.0,12,3,1
b0ef89ff-a207-4b77-ac43-741d8aec3f9b,Small Merchant,120049.25,0.3882,24,234993.29,0.6835,,,,,3.68,0.23,,,False,,20,3,1
592f3cd5-6b2a-4478-acf7-d821e0124fbc,Gig Worker,52345.37,0.2893,29,,,0.8807,0.0,2.78,0.779,,,24.52,0.1493,False,,29,4,0
165762c2-cc3f-4cdf-b7c5-bfdc49bf527a,Informal/Rural Worker,18998.87,0.402,16,,,0.6177,10.35,2.69,0.6226,,,,,False,,16,3,0
c66d1b50-9e05-4f2a-af05-f1191b80b0d3,First-time Borrower,65115.19,0.1599,20,,,,,,,,,,,True,654.0,22,1,0
ee0bfaff-67be-4da4-b8e1-96f804e5b64e,Small Merchant,145834.96,0.3025,24,298443.94,0.6454,0.8089,9.39,,,5.69,0.1233,,,True,647.0,20,4,0
ef06bfc1-753c-4165-8808-f162a2aed8a3,First-time Borrower,55184.11,0.2229,22,,,0.7729,7.61,3.13,0.6961,,,22.52,0.0641,True,677.0,19,4,0
a2146822-b669-4969-8b58-056b43af376e,Small Merchant,101693.76,0.3665,23,250029.97,0.5976,0.5787,13.14,,,4.47,0.1186,,,False,,19,4,0
045f68b8-2649-4247-b953-0127ee80679c,First-time Borrower,39834.54,0.2194,16,,,0.5671,13.4,,,,,,,True,531.0,12,2,1
86074d04-e6b7-45fc-8eda-6ee784070a62,First-time Borrower,65149.11,0.1827,22,,,0.8822,4.94,,,,,,,True,689.0,21,2,0
fe8832b3-8deb-4a84-b581-9fb1465b2338,Gig Worker,48032.89,0.3218,23,,,,,2.98,0.8345,6.47,0.0991,24.46,0.1182,False,,26,4,0
0ac47af2-f189-45e1-b1f1-4c85bfaba3e0,Small Merchant,67568.87,0.3498,20,169904.65,0.6006,0.5564,13.08,,,3.41,0.2015,18.02,-0.0006,False,,14,5,1
c37d6d51-8c9f-4fc9-bc1e-d0e86bca30b2,Small Merchant,205275.88,0.2544,27,425917.88,0.8435,,,,,,,,,False,,30,2,0
a9255efc-a5e5-4036-80dc-3c05b451d086,Small Merchant,72019.32,0.4423,19,,,0.3314,14.19,,,0.5,0.1953,,,True,503.0,7,3,1
4cfaa654-e77f-43a3-9e9d-c65cc43865de,First-time Borrower,33453.88,0.2547,16,,,0.5061,16.41,,,2.4,0.1883,,,True,474.0,4,3,1
f36c791c-77da-47f6-9206-b93874b4a953,Small Merchant,80550.19,0.4586,21,186612.47,0.5419,0.5785,14.84,1.21,0.5829,5.67,0.1819,,,True,530.0,9,5,1
62da4206-c1f0-4ead-8a54-48b20f48f2ed,Informal/Rural Worker,22342.69,0.5371,12,,,0.7025,14.22,1.63,0.5421,,,,,False,,14,3,1
cb225e1b-1975-4f7b-9f8f-3be3abbbb507,First-time Borrower,57484.38,0.2145,22,,,0.6993,9.59,,,,,,,True,643.0,19,2,0
5a6a7f95-d53a-463a-803d-2d5b2b2578c1,Gig Worker,34619.09,0.4935,21,,,0.6975,12.93,2.26,0.6665,,,21.63,0.0843,True,614.0,17,4,0
ae3813cf-adcb-4901-9f56-92a68294eb64,Small Merchant,105350.29,0.3463,22,278124.8,0.7434,0.6473,10.79,,,7.19,0.1159,,,False,,20,4,0
3f1ac6c0-e4fa-49d7-bcf3-b5e0551c2f1a,First-time Borrower,42519.09,0.1887,18,,,0.6191,12.86,,,,,,,True,557.0,12,2,0
b622c3ce-ba06-45f6-a9e3-75c714a78060,Gig Worker,48741.95,0.4618,26,,,,,3.4,0.8038,,,25.24,0.1995,False,,29,3,0
2505d7ba-5dbe-4411-9014-a360e8f0fed2,Gig Worker,31152.33,0.499,19,,,,,2.4,0.6336,,,18.88,-0.1036,True,563.0,14,3,0
d867dea6-573b-4243-9ba4-d190c2847500,Small Merchant,106271.96,0.3856,23,178069.16,0.7823,0.7338,9.34,,,3.98,0.1948,,,False,,20,4,0
be63a4f6-f0b3-468c-a54f-3d80c4f85855,First-time Borrower,37233.69,0.2274,19,,,0.5607,15.86,,,,,,,False,,8,2,1
7b0dc938-c8b9-4354-b9af-2d75c48a006d,Gig Worker,37279.33,0.3724,23,,,,,2.03,0.6738,,,17.15,-0.0154,False,,18,3,0
7b82266a-4d6b-4f82-b2b0-f07731e75a4f,Small Merchant,171182.03,0.2827,28,332927.38,0.8959,0.8288,8.97,,,6.77,0.1114,,,False,,29,4,0
0769be94-82a6-473f-979a-b1f22af3c7aa,First-time Borrower,81804.74,0.05,26,,,0.8778,5.18,3.38,0.8101,,,,,True,787.0,25,3,0
62e1f447-fe30-42b1-b7d3-18f8d070ccc3,Gig Worker,46025.71,0.2986,24,,,,,2.73,0.8783,,,21.23,0.1414,False,,23,3,0
0eba92c7-7ba7-4637-a6e7-d32ecb66bf8f,First-time Borrower,50330.35,0.1812,18,,,0.6666,7.09,2.31,0.6895,,,18.52,0.0225,False,,13,4,1
a1f4ca47-24d1-4c1e-a18a-c9e8c0586058,Small Merchant,145256.11,0.3896,23,225609.02,0.6115,0.5439,7.97,2.54,0.5671,2.98,0.1816,19.08,-0.1161,False,,15,6,0
f8d124cd-bfa9-4bbb-984b-b3240e880b30,Gig Worker,45019.68,0.3485,21,,,,,1.96,0.7359,,,23.55,0.0682,False,,20,3,0
7149a695-2ae2-419f-b607-e946c4ca4427,Small Merchant,98271.21,0.4391,22,197085.15,0.6574,0.611,10.94,,,3.03,0.1388,,,False,,19,4,0
885137a1-ef38-433c-95de-6f2cd2ffdf60,Informal/Rural Worker,20201.65,0.4259,16,,,0.8272,8.57,2.6,0.6471,,,,,False,,24,3,0
fff6165a-28c8-4a66-9b9a-7663db3dd790,Small Merchant,129150.34,0.3023,23,283666.54,0.8299,0.7156,7.48,,,3.31,0.1802,,,False,,16,4,0
fc47a789-772d-4f09-98e0-433d36c72b81,Gig Worker,39637.59,0.3886,20,,,,,2.59,0.7279,,,19.01,0.0695,False,,21,3,1
bf954dba-5ee5-4e07-b31a-2ccfb97f2218,Gig Worker,45569.63,0.3763,25,,,,,3.42,0.7447,,,28.25,0.1673,False,,25,3,0
485dd6a3-7ba2-4238-bb59-30e7948e6cb1,Informal/Rural Worker,15556.62,0.6148,10,,,0.3461,12.45,1.77,0.5908,,,,,False,,11,3,0
98e45dca-49b3-4fcf-8387-440bdcd6ced8,First-time Borrower,64406.98,0.2458,22,,,0.8681,8.32,,,7.68,0.1773,,,True,662.0,26,3,1
664ab015-61ab-438a-a9b4-f3a8e7b363e6,Small Merchant,162026.5,0.3176,25,241629.59,0.6597,0.6897,10.07,,,5.93,0.1496,,,False,,13,4,0
dbd4ccb8-07e3-42b6-829e-c8f7a1f02804,Informal/Rural Worker,23227.77,0.3885,17,,,0.6252,6.67,2.17,0.6976,,,,,False,,27,3,0
ca66da00-ff71-4530-a671-a93cabf6f47f,Small Merchant,149027.01,0.2991,27,279907.63,0.8191,0.7783,8.01,,,6.95,0.1522,,,False,,20,4,0
67a1edd4-1981-4c64-948b-3be48b3710a4,Gig Worker,37090.52,0.3407,24,,,0.7403,5.66,,,,,19.13,0.0746,False,,18,3,0
4a07e576-4129-4acb-ac65-d77b2a7aee0a,Gig Worker,46816.55,0.2774,26,,,,,3.12,0.8383,,,24.26,0.1838,False,,27,3,1
14cc86da-5d6c-4c21-a681-c075cebbe427,Small Merchant,178035.55,0.3442,27,381207.91,0.8225,0.9051,2.1,3.16,0.8024,7.93,0.1238,23.35,0.3038,False,,31,6,0
e5e694c9-d93f-40a3-a5fa-dff26950d1dd,Small Merchant,111657.9,0.396,23,215775.53,0.6644,0.6835,13.48,,,5.0,0.1968,,,True,616.0,14,4,0
d75a0843-8baa-4540-9412-3f4642bc5e27,First-time Borrower,38593.77,0.2659,15,,,0.5946,12.13,,,4.06,0.2088,,,True,538.0,16,3,0
574448f0-7031-4c15-a0e0-9e6c30af1e48,First-time Borrower,38951.14,0.2652,13,,,0.4343,12.14,,,2.36,0.21,,,False,,14,3,0
90b10604-359e-4ed4-892a-a3803886afe0,Small Merchant,172361.08,0.2248,28,376150.76,0.8813,0.9478,1.17,3.26,0.9743,10.91,0.0866,,,False,,34,5,0
3afee39d-6af8-427e-9d22-a73eb80e5797,Gig Worker,25551.09,0.5294,22,,,,,1.72,0.4964,,,16.55,-0.0384,False,,21,3,0
279137ba-7c92-4307-9421-a23bb16a965c,Small Merchant,114434.34,0.4231,24,,,0.6497,9.27,2.21,0.629,4.9,0.1657,15.51,-0.0154,False,,20,5,0
8d56a11e-0285-4015-8d6d-d63f7b7c4357,First-time Borrower,51718.87,0.2551,19,,,0.7483,6.86,,,,,,,False,,21,2,0
d650ae88-4e7e-48d0-92ef-14dbe76bad61,Informal/Rural Worker,16537.65,0.5391,11,,,0.6377,13.01,1.45,0.5597,,,,,False,,14,3,0
90508287-b664-4e03-b91d-57d9efef163c,Small Merchant,118732.11,0.3299,24,241028.5,0.7793,0.6608,11.53,2.37,0.6902,5.32,0.2025,,,False,,14,5,0
ea846e10-e1c4-479a-82d2-615fc0ed3e69,Informal/Rural Worker,27255.34,0.3168,17,,,0.8886,1.23,3.36,1.0,,,,,False,,27,3,0
9cdb676f-cc4c-4ba0-b5e5-3dcd8e2e5f92,Small Merchant,34564.67,0.4042,19,58762.96,0.5243,0.4872,18.6,,,2.42,0.2461,,,False,,12,4,1
7e59539c-8fa8-45cf-a529-f8c8f6e1282c,Small Merchant,114535.32,0.4644,25,200682.26,0.6809,0.6187,13.35,,,2.37,0.1497,,,False,,17,4,0
a4a7ab56-bed7-417e-93c5-1cef15165c9b,Small Merchant,82523.81,0.4428,21,169053.9,0.7004,0.6225,13.39,,,4.08,0.1414,,,True,544.0,11,4,0
3fcb4bd0-b924-40cb-8942-5dea9efbaa84,Small Merchant,140672.0,0.3044,25,286669.37,0.7655,0.715,3.46,,,5.17,0.1299,,,False,,23,4,0
679a4643-6e32-4769-9a85-ae0188c10baf,Gig Worker,22550.22,0.4999,19,,,,,1.56,0.4495,4.62,0.2215,17.14,0.1115,False,,12,4,0
892c909d-b0a2-452a-b6a6-197e8ef951b7,First-time Borrower,54606.51,0.1623,15,,,0.6439,9.04,,,3.67,0.1495,,,True,554.0,14,3,0
338a69c7-35c8-41c6-b35c-f518aaf2a85f,Small Merchant,108693.95,0.3932,22,167766.48,0.6685,0.5422,13.07,,,6.06,0.199,,,True,560.0,12,4,0
8e306f98-b857-421a-8f01-eb32409a62f1,Gig Worker,26789.25,0.379,24,,,0.7197,11.72,2.3,0.7055,,,17.94,0.0202,True,584.0,17,4,0
65c0bc83-397e-4a94-82bf-8728249f4da2,Informal/Rural Worker,20391.2,0.4818,12,,,0.7569,11.76,2.12,0.6537,,,,,False,,16,3,1
07488fe9-bc2e-4af5-8e40-eb2e429bd038,Informal/Rural Worker,15531.57,0.5503,13,,,0.5417,13.67,1.34,0.621,,,,,False,,16,3,1
9a393893-5234-43e3-bda2-6f01779fa639,Informal/Rural Worker,23477.12,0.3161,18,,,0.7298,6.13,2.67,0.7698,,,,,False,,21,3,0
c15a0c28-dc42-41ca-a65d-d47f9429e9b6,First-time Borrower,70104.31,0.0923,25,,,0.8237,7.04,,,,,,,False,,28,2,0
83767c0a-b6af-4921-9fcd-f38a85567e6b,First-time Borrower,64595.92,0.2339,21,,,0.7081,11.77,3.23,0.7181,5.38,0.1455,,,True,645.0,24,4,0
cd83302f-d2b0-4742-9e79-feb9305d8403,First-time Borrower,78729.89,0.2145,24,,,0.8841,1.01,,,5.2,0.1009,23.93,0.2244,True,782.0,23,4,0
dd5948de-6bec-4228-b611-30c2b76935a1,Small Merchant,83996.51,0.4722,22,252589.21,0.6208,0.4733,12.49,,,5.77,0.1649,,,False,,16,4,0
90593a10-c5df-42c3-a18b-107f2685114d,Gig Worker,38839.02,0.311,22,,,,,2.52,0.7163,4.88,0.0493,23.6,-0.0723,False,,22,4,0
7116761c-c771-4b1d-a6ff-b76816f7674b,Small Merchant,77416.21,0.4252,24,243851.3,0.7144,0.6036,11.63,2.38,0.5842,2.87,0.2186,,,False,,18,5,0
ce8decd6-293d-4b8a-977b-890a07f47fe0,First-time Borrower,64532.09,0.1228,24,,,0.7826,5.98,,,,,,,True,724.0,24,2,0
08446c40-b8cb-439b-a017-9ad36ff8fbaa,Informal/Rural Worker,14083.91,0.4286,13,,,0.7123,9.25,2.85,0.7796,,,,,False,,19,3,1
55deea67-6812-4901-a843-403cd468c791,Gig Worker,41999.79,0.3482,25,,,0.8159,6.7,2.29,0.7379,6.7,0.0694,22.44,0.1807,False,,21,5,0
06900cf3-3b15-4f09-a3f1-dd27f6e2b35b,Gig Worker,30715.08,0.4619,21,,,,,1.93,0.5874,2.61,0.16,14.2,-0.0312,False,,8,4,0
6035e2c9-8a8b-44f3-b07e-962d08cb9a94,Informal/Rural Worker,26828.07,0.5139,19,,,0.823,7.26,2.76,0.8135,,,,,False,,25,3,0
fd948af6-69fe-4fff-83f6-3bc9876755c7,First-time Borrower,80782.3,0.1525,23,,,0.8055,2.67,2.85,0.9125,,,,,True,764.0,21,3,0
a104c446-74ef-4a4f-a024-cefb29f26c9f,Informal/Rural Worker,9661.54,0.5743,5,,,0.3822,17.25,1.27,0.4246,,,,,False,,11,3,1
1f3a4d1d-2d99-4111-938a-0edc253d3621,Gig Worker,19811.86,0.4711,17,,,,,,,3.22,0.2531,,,False,,11,2,1
e7cd0db3-f01a-4d52-b9af-832c73883b1d,Informal/Rural Worker,26388.64,0.3885,18,,,0.8018,4.06,2.61,0.8069,,,,,False,,22,3,0
edfede8b-ab7c-42cd-a381-0d03e7a12eb4,Informal/Rural Worker,16630.22,0.4891,14,,,,,1.91,0.6549,,,,,False,,17,2,0
e87eb892-a165-47cb-964a-0b9578e04220,Informal/Rural Worker,21641.9,0.5679,14,,,0.6675,6.87,2.07,0.6682,,,,,False,,17,3,0
8e2c9568-3b42-4ffc-b4e9-0cd30c46f659,Gig Worker,23738.86,0.4794,18,,,,,1.1,0.6068,,,15.26,-0.0145,False,,12,3,1
e16f45ee-9f9d-4201-a39e-a4885c4f20c6,Gig Worker,34186.96,0.4329,22,,,0.6778,8.48,2.55,0.5361,,,18.06,-0.0418,False,,28,4,0
743888ac-5c00-4e2d-84cf-562508ca58be,Small Merchant,120948.12,0.3548,24,279653.84,0.6912,0.7033,4.93,2.62,0.6915,,,,,False,,15,4,0
2d5a83ff-138c-4fc3-8564-a0dbc91d10e9,First-time Borrower,72100.0,0.2496,25,,,0.7445,8.13,,,,,27.55,0.1201,True,712.0,25,3,1
9c7bf3f2-0552-4bca-ab37-2fc7dfe92aca,First-time Borrower,79007.39,0.1842,25,,,,,,,,,,,True,760.0,31,1,0
d084aa52-66a9-4a8a-911d-c038bf10e787,Informal/Rural Worker,17047.48,0.4614,10,,,0.4555,10.68,1.29,0.4609,,,,,False,,9,3,0
0c04d482-2686-4711-bd3a-251520d064f3,Small Merchant,101716.98,0.2949,22,240854.42,0.7643,0.6698,12.49,2.57,0.6607,2.74,0.1922,,,False,,15,5,0
f1f9438d-4915-4308-8f13-b35ed79f2be4,First-time Borrower,59097.02,0.1357,17,,,0.7922,10.73,,,,,,,True,599.0,11,2,0
bee159ba-7b99-45d2-b05d-2da0b8954cb3,Gig Worker,35240.2,0.3638,24,,,,,2.99,0.7597,,,18.43,0.1446,False,,23,3,0
3cf11b3f-3f80-46d7-bed8-c2bbd2bd473d,Informal/Rural Worker,25056.66,0.4339,15,,,0.881,5.17,2.83,0.7764,,,,,False,,17,3,0
b018a54f-d612-41c4-9bbd-a33ff21b48ab,Gig Worker,26794.77,0.3675,22,,,0.6657,10.96,1.47,0.5028,,,14.12,0.009,False,,17,4,0
9a53266b-a09c-4f49-9914-692852b7bbb8,First-time Borrower,46471.65,0.2481,17,,,0.7089,13.83,,,2.75,0.1951,,,True,602.0,18,3,1
a6b03d53-cba1-428e-8370-85423b64b825,Gig Worker,34164.6,0.5004,19,,,,,2.37,0.6902,5.78,0.1739,14.91,-0.0113,False,,19,4,0
7f179005-c92e-4ff0-b93a-064d6a287d93,First-time Borrower,39208.42,0.2774,15,,,0.4231,11.97,,,,,,,False,,16,2,0
ee648277-469a-415e-bebb-69d4dccc2de9,Small Merchant,112430.94,0.4062,23,197989.05,0.6839,0.6304,5.34,1.94,0.5085,4.69,0.1484,,,False,,12,5,0
96b5332e-330d-4107-b5c4-cf53f290621a,Gig Worker,37850.51,0.3504,23,,,,,2.54,0.6581,,,21.32,0.0788,False,,20,3,0
060b8507-0cc9-45ce-b24a-3a1349900412,First-time Borrower,81418.37,0.0973,24,,,0.8469,8.62,,,,,,,True,717.0,27,2,0
a3582a5b-755a-4591-8a4e-fb7f2ca9e8be,Small Merchant,166112.35,0.2655,25,406271.13,0.7998,0.8017,7.22,,,7.01,0.17,24.34,0.0893,False,,26,5,0
f3188ebf-40e0-4e04-90c5-5fc3bc8aef0a,Small Merchant,175210.32,0.3013,24,348885.98,0.8754,0.8421,2.45,,,7.22,0.118,26.1,0.2178,False,,26,5,0
7582fae9-42a8-4f4e-b153-65e82c6ccdff,Informal/Rural Worker,21646.93,0.583,10,,,0.6141,13.59,1.6,0.6393,,,,,False,,16,3,0
15e2fb19-288b-4661-be78-af1c03c8edf7,Small Merchant,115669.38,0.2848,26,209113.12,0.707,0.6886,11.49,2.22,0.6165,6.83,0.1881,,,True,625.0,14,5,0
f9b62d7f-9782-48d6-93bf-e796be8b05d9,First-time Borrower,65854.61,0.0867,21,,,0.9492,2.66,,,8.27,0.1152,,,True,713.0,24,3,0
e8550f99-4232-490c-8599-7c7c874aa2a7,First-time Borrower,79470.47,0.1605,24,,,0.9152,2.81,,,8.23,0.0522,,,True,716.0,27,3,0
91e02ffb-8c99-45d5-9eeb-4a8295784fce,First-time Borrower,59057.64,0.3084,23,,,0.7145,7.0,,,6.78,0.203,,,True,662.0,19,3,0
1c8a70ef-a503-4de0-851c-fafc4405fc5b,Gig Worker,29304.2,0.3956,21,,,,,1.61,0.568,,,12.97,-0.0169,False,,13,3,0
5e6bab71-4a2e-4b03-9a5f-3e22f5250ad1,Gig Worker,37871.16,0.3783,24,,,,,,,6.29,0.1578,19.91,0.0634,False,,19,3,0
855d6f53-a0bf-4a70-9e44-c95b781a3bed,Gig Worker,33037.94,0.4124,19,,,0.6881,11.67,2.43,0.5734,,,18.84,0.0737,False,,17,4,0
267669e3-2593-4abd-afca-31f630c7f48b,Small Merchant,154252.81,0.278,24,278566.74,0.8716,0.7398,10.0,2.6,0.8165,6.32,0.1552,,,False,,24,5,0
ce736e2b-e843-4aa2-ab8b-2305bc3b776b,Small Merchant,178614.58,0.2045,26,346973.29,0.8323,0.8071,1.57,,,8.96,0.1315,25.0,0.1714,False,,25,5,0
a155a6d4-0799-422e-9e6e-038f7511fdc6,Small Merchant,132003.64,0.3328,24,258119.95,0.6535,0.617,9.75,,,6.14,0.195,,,False,,15,4,0
